Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 42.08      0.61     0.61 11318625     0.00     0.00  Lattice::getRootNode(int)
 12.07      0.79     0.18 49569611     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 10.35      0.94     0.15  2000000     0.00     0.00  Lattice::activateBond(Bond&)
  9.66      1.08     0.14  1999987     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<Bond>, std::is_move_assignable<Bond> >::value, void>::type std::swap<Bond>(Bond&, Bond&)
  2.76      1.12     0.04  2000000     0.00     0.00  Lattice::pushBinomialCoeff()
  2.07      1.15     0.03        1     0.03     0.03  arma::Mat<double>::init_warm(unsigned long long, unsigned long long)
  2.07      1.18     0.03  1000000     0.00     0.00  Lattice::getChi(int)
  1.38      1.20     0.02 11999998     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::base() const
  1.38      1.22     0.02  4000022     0.00     0.00  Bond const& std::forward<Bond const&>(std::remove_reference<Bond const&>::type&)
  1.38      1.24     0.02  4000000     0.00     0.00  bool __gnu_cxx::operator!=<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&)
  1.38      1.26     0.02  2999997     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  1.38      1.28     0.02  2000000     0.00     0.00  void __gnu_cxx::new_allocator<Bond>::construct<Bond, Bond const&>(Bond*, Bond const&)
  1.38      1.30     0.02  1999987     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >)
