Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 93.24     55.48    55.48        1    55.48    59.44  _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t
  1.26     56.23     0.75 38043785     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.83     56.72     0.50  5032417     0.00     0.00  Lattice::getRootNode(int)
  0.81     57.20     0.48  2115927     0.00     0.00  Lattice::calcAverageClusterSize(Bond&)
  0.55     57.53     0.33  6663368     0.00     0.00  Lattice::getPvalue()
  0.49     57.82     0.29      116     0.00     0.01  void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >)
  0.35     58.03     0.21  4650182     0.00     0.00  bool __gnu_cxx::operator!=<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&)
  0.27     58.19     0.16 13740488     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::base() const
  0.22     58.32     0.13  8773467     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.20     58.44     0.12  4413690     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.18     58.55     0.11  3051253     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >)
  0.14     58.63     0.09  1928071     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<Bond>, std::is_move_assignable<Bond> >::value, void>::type std::swap<Bond>(Bond&, Bond&)
  0.13     58.71     0.08  3045842     0.00     0.00  void __gnu_cxx::new_allocator<Bond>::construct<Bond, Bond const&>(Bond*, Bond const&)
  0.12     58.78     0.07  3576869     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator+(long) const
  0.12     58.85     0.07      125     0.00     0.00  void std::fill<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.10     58.91     0.06  3892444     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator*() const
  0.08     58.96     0.05  7391364     0.00     0.00  std::remove_reference<Bond&>::type&& std::move<Bond&>(Bond&)
  0.08     59.01     0.05  3149738     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::size() const
  0.08     59.06     0.05  3123165     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::__normal_iterator(Bond* const&)
  0.08     59.11     0.05  2371281     0.00     0.00  operator new(unsigned long, void*)
  0.08     59.16     0.05                             std::ostream_iterator<int, char, std::char_traits<char> > std::__copy_move_a<false, int*, std::ostream_iterator<int, char, std::char_traits<char> > >(int*, int*, std::ostream_iterator<int, char, std::char_traits<char> >)
  0.07     59.20     0.04  3232401     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::operator[](unsigned long)
  0.07     59.24     0.04  2849345     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator++()
  0.07     59.28     0.04  2836521     0.00     0.00  void std::allocator_traits<std::allocator<Bond> >::construct<Bond, Bond const&>(std::allocator<Bond>&, Bond*, Bond const&)
  0.07     59.32     0.04  2474482     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::difference_type __gnu_cxx::operator-<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&)
  0.07     59.36     0.04  2441279     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::push_back(Bond const&)
  0.05     59.39     0.03  1355743     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.05     59.42     0.03  1212739     0.00     0.00  SquareLattice::findNeighbor(int)
