Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 40.01      0.02     0.02  2583704     0.00     0.00  Lattice::getRootNode(int)
 20.01      0.03     0.01  1250002     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
 20.01      0.04     0.01   500000     0.00     0.00  Lattice::getPvalue()
 20.01      0.05     0.01   375000     0.00     0.00  Lattice::activateBond(Bond&)
  0.00      0.05     0.00 10260250     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.05     0.00  2249998     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::base() const
  0.00      0.05     0.00  1124946     0.00     0.00  std::remove_reference<Bond&>::type&& std::move<Bond&>(Bond&)
  0.00      0.05     0.00   875099     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::size() const
  0.00      0.05     0.00   750020     0.00     0.00  Bond const& std::forward<Bond const&>(std::remove_reference<Bond const&>::type&)
  0.00      0.05     0.00   750000     0.00     0.00  bool __gnu_cxx::operator!=<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&)
  0.00      0.05     0.00   749998     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.05     0.00   749997     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00      0.05     0.00   749964     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator*() const
  0.00      0.05     0.00   624999     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.05     0.00   500000     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.00      0.05     0.00   437248     0.00     0.00  HoneycombLattice::checkIfEvenNumber(int)
  0.00      0.05     0.00   375002     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::__normal_iterator(Bond* const&)
  0.00      0.05     0.00   375000     0.00     0.00  void __gnu_cxx::new_allocator<Bond>::construct<Bond, Bond const&>(Bond*, Bond const&)
  0.00      0.05     0.00   375000     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator+(long) const
  0.00      0.05     0.00   375000     0.00     0.00  void std::allocator_traits<std::allocator<Bond> >::construct<Bond, Bond const&>(std::allocator<Bond>&, Bond*, Bond const&)
  0.00      0.05     0.00   375000     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::push_back(Bond const&)
  0.00      0.05     0.00   375000     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::operator[](unsigned long)
  0.00      0.05     0.00   374999     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator++()
  0.00      0.05     0.00   374999     0.00     0.00  __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::difference_type __gnu_cxx::operator-<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&)
  0.00      0.05     0.00   374982     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<Bond>, std::is_move_assignable<Bond> >::value, void>::type std::swap<Bond>(Bond&, Bond&)
  0.00      0.05     0.00   374982     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >)
  0.00      0.05     0.00   250000     0.00     0.00  HoneycombLattice::findNeighbor(int)
  0.00      0.05     0.00   250000     0.00     0.00  Lattice::getChi(int)
  0.00      0.05     0.00   249999     0.00     0.00  HoneycombLattice::checkIfFirstRow(int)
  0.00      0.05     0.00   249999     0.00     0.00  Lattice::getBinomialDistribution(unsigned int, double, unsigned int)
  0.00      0.05     0.00   249999     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      0.05     0.00   249999     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      0.05     0.00   249999     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      0.05     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      0.05     0.00   249999     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.05     0.00   249749     0.00     0.00  HoneycombLattice::checkIfLastColumn(int)
  0.00      0.05     0.00   187248     0.00     0.00  HoneycombLattice::checkIfEvenRow(int)
  0.00      0.05     0.00    62250     0.00     0.00  HoneycombLattice::checkIfLastRow(int)
  0.00      0.05     0.00       60     0.00     0.00  __gnu_cxx::new_allocator<Bond>::max_size() const
  0.00      0.05     0.00       60     0.00     0.00  Bond* std::__niter_base<Bond*>(Bond*)
  0.00      0.05     0.00       41     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_get_Tp_allocator()
  0.00      0.05     0.00       40     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_get_Tp_allocator() const
  0.00      0.05     0.00       40     0.00     0.00  std::move_iterator<Bond*>::base() const
  0.00      0.05     0.00       40     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::max_size() const
  0.00      0.05     0.00       40     0.00     0.00  std::move_iterator<Bond*>::move_iterator(Bond*)
  0.00      0.05     0.00       40     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::max_size(std::allocator<Bond> const&)
  0.00      0.05     0.00       40     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<Bond*>(std::move_iterator<Bond*>)
  0.00      0.05     0.00       40     0.00     0.00  Bond* std::__miter_base<Bond*>(Bond*)
  0.00      0.05     0.00       40     0.00     0.00  std::move_iterator<Bond*> std::__make_move_if_noexcept_iterator<Bond, std::move_iterator<Bond*> >(Bond*)
  0.00      0.05     0.00       36     0.00     0.00  arma::solve_opts::opts::opts(unsigned long long)
  0.00      0.05     0.00       30     0.00     0.00  arma::gmm_seed_mode::gmm_seed_mode(unsigned long long)
  0.00      0.05     0.00       21     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Bond*>(Bond*, Bond*)
  0.00      0.05     0.00       21     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_deallocate(Bond*, unsigned long)
  0.00      0.05     0.00       21     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.05     0.00       21     0.00     0.00  void std::_Destroy<Bond*>(Bond*, Bond*)
  0.00      0.05     0.00       21     0.00     0.00  void std::_Destroy<Bond*, Bond>(Bond*, Bond*, std::allocator<Bond>&)
  0.00      0.05     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<Bond>::deallocate(Bond*, unsigned long)
  0.00      0.05     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<Bond>::allocate(unsigned long, void const*)
  0.00      0.05     0.00       20     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::_M_check_len(unsigned long, char const*) const
  0.00      0.05     0.00       20     0.00     0.00  Bond* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Bond>(Bond const*, Bond const*, Bond*)
  0.00      0.05     0.00       20     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_allocate(unsigned long)
  0.00      0.05     0.00       20     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::deallocate(std::allocator<Bond>&, Bond*, unsigned long)
  0.00      0.05     0.00       20     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::allocate(std::allocator<Bond>&, unsigned long)
